  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       4	 12:55:55	  -6.000	  172.10	  998.60	   21.83	 1000.03	   1.179	 -219.18	  271.11	  350.43	  243.24	  132.40	   79.72	   34.94	   10.99	  -12.46	  -24.58	  -20.87	  -40.34	  -43.20	  -46.02	  -42.84	  -38.25	  -30.93	  -22.85	  -14.26	   -7.29	   -0.03	    4.74	    7.82	   10.88	   25.60	 -223.45	 -812.00	 -812.81	 -523.12	 -296.75	 -243.81	 -208.55	 -178.50	 -158.72	 -141.17	 -126.44	 -113.64	 -102.31	  -91.21	  -80.61	  -70.66	  -60.09	  -49.41	  -37.80	  -25.86	  -13.60	   -1.25	   11.02	   25.60	  364.57	  365.58	  365.04	  364.11	  364.50	  365.29	  363.86	  365.11	  365.02	  364.70	  365.13	  364.31	  366.12	  364.35	  365.18	  364.89	  364.13	  364.15	  365.09	  365.02	  361.31	  342.97	  313.54	  281.71	  266.19	  278.21	  311.27	  342.39	  359.89	  365.00	  363.97	  364.69	  363.42	  366.83	  363.80	  363.67	  363.36	  363.54	  362.48	  363.76	  362.13	  364.03	  362.99	  362.03	  362.76	  364.17	  363.38	  363.50	   18.90	   15.09	   16.44	   16.54	   17.17	   17.25	   17.60	   19.09	   19.50	   19.38	   19.60	   13.56	    2.11	    0.05	   -0.04	   -0.12
       5	 12:57:30	  -6.000	  187.67	  998.71	   22.38	 1050.04	   1.177	 -247.69	  294.83	  384.02	  265.16	  144.84	   85.45	   36.69	   10.28	  -14.92	  -29.10	  -26.46	  -46.10	  -49.44	  -53.15	  -50.27	  -43.88	  -37.31	  -27.67	  -17.98	  -10.65	   -2.66	    2.77	    5.84	    9.08	   28.94	 -252.61	 -912.31	 -917.57	 -533.35	 -328.71	 -269.56	 -229.26	 -196.92	 -174.70	 -155.67	 -139.25	 -125.13	 -112.61	 -100.45	  -88.69	  -77.64	  -65.99	  -54.13	  -41.30	  -28.05	  -14.54	   -0.87	   12.61	   28.94	  399.79	  401.22	  400.27	  399.34	  399.94	  400.71	  399.55	  400.78	  400.53	  399.81	  400.23	  399.86	  401.10	  400.08	  400.31	  400.54	  399.79	  399.42	  400.73	  401.05	  398.10	  383.95	  353.95	  316.68	  295.05	  303.10	  335.67	  370.94	  392.52	  399.90	  399.27	  400.36	  402.11	  401.61	  402.02	  401.49	  402.09	  400.85	  400.65	  402.34	  400.20	  402.97	  401.54	  400.51	  400.73	  402.37	  401.76	  402.05	   20.47	   16.20	   17.74	   17.76	   18.46	   18.12	   18.97	   20.53	   21.13	   20.98	   21.18	   14.54	    1.98	    0.06	   -0.06	   -0.01
       6	 12:58:37	  -4.000	  186.59	  998.67	   22.60	 1049.81	   1.176	  -10.75	  318.85	  336.75	  190.72	   72.60	   19.87	  -14.96	  -43.03	  -56.82	  -70.58	  -64.97	  -78.19	  -78.91	  -78.88	  -72.54	  -64.39	  -55.06	  -44.10	  -34.45	  -25.83	  -20.44	  -15.96	  -14.79	    3.14	   36.71	  -13.75	 -720.34	 -487.67	 -349.44	 -267.08	 -205.60	 -168.13	 -141.96	 -127.63	 -115.25	 -104.35	  -94.85	  -86.12	  -77.30	  -68.33	  -59.99	  -50.83	  -40.81	  -29.59	  -17.54	   -4.70	    8.86	   22.82	   36.71	  395.19	  396.48	  395.70	  394.90	  395.35	  396.22	  394.92	  396.35	  395.88	  395.51	  395.89	  395.16	  396.80	  395.64	  395.56	  395.96	  395.48	  395.07	  396.28	  396.58	  392.19	  373.46	  343.07	  322.30	  332.04	  365.59	  386.11	  394.22	  396.07	  396.50	  394.78	  395.93	  396.29	  397.79	  396.59	  395.79	  396.22	  395.21	  394.99	  396.47	  394.50	  397.15	  395.70	  394.86	  394.98	  396.71	  396.14	  396.24	   18.91	   17.03	   18.47	   18.12	   18.45	   19.47	   19.06	   20.19	   20.14	   19.73	   19.83	   15.83	    1.40	    0.04	   -0.07	   -0.12
       7	 12:59:11	  -2.000	  185.67	  998.83	   22.69	 1049.77	   1.176	  244.89	  301.49	  258.79	  102.22	   -0.51	  -46.75	  -71.38	  -90.61	  -98.59	 -106.52	  -95.89	 -108.18	 -104.73	  -99.53	  -89.48	  -80.01	  -68.11	  -58.49	  -49.29	  -44.55	  -41.04	  -40.81	    7.56	   50.10	   33.15	  239.68	 -286.56	 -264.64	 -207.33	 -164.85	 -139.36	 -119.89	 -105.71	  -95.93	  -87.02	  -79.52	  -72.87	  -66.81	  -60.68	  -54.61	  -48.49	  -42.18	  -35.60	  -28.84	  -22.13	  -15.03	    0.19	   26.26	   33.15	  393.07	  394.41	  393.52	  392.78	  393.12	  394.31	  393.54	  394.32	  394.34	  393.61	  393.85	  393.07	  394.70	  393.69	  393.62	  393.93	  393.10	  392.85	  394.18	  394.24	  391.13	  379.41	  359.69	  342.75	  347.30	  369.19	  384.47	  392.01	  393.92	  394.59	  392.65	  393.95	  394.72	  396.80	  394.85	  394.21	  394.67	  393.55	  393.30	  394.76	  392.90	  395.55	  393.85	  393.21	  393.22	  394.95	  394.38	  394.55	   18.84	   18.37	   19.76	   19.23	   19.38	   20.42	   20.24	   20.73	   20.41	   19.83	   19.92	   17.40	    1.58	    0.05	   -0.08	   -0.20
       8	 12:59:42	   0.000	  188.05	  998.75	   22.77	 1049.87	   1.176	  387.62	  230.96	  141.57	  -10.59	  -92.50	 -122.29	 -135.87	 -147.32	 -147.78	 -152.26	 -135.22	 -143.68	 -134.96	 -126.47	 -113.90	 -102.72	  -89.82	  -81.28	  -74.63	  -72.61	  -63.44	    2.30	   31.27	   46.37	   48.54	  382.88	   59.43	  -59.77	  -79.65	  -79.93	  -73.54	  -66.76	  -60.58	  -56.85	  -52.96	  -49.20	  -45.91	  -42.76	  -38.87	  -34.73	  -30.22	  -24.90	  -18.71	  -11.71	   -4.56	    1.95	    7.26	   11.05	   48.54	  399.04	  400.65	  399.71	  398.95	  399.29	  400.10	  399.71	  400.33	  400.54	  399.47	  399.79	  399.15	  400.74	  399.58	  399.54	  399.95	  399.08	  398.89	  400.13	  399.41	  394.84	  384.04	  370.17	  357.21	  356.98	  369.16	  381.65	  391.76	  397.78	  400.44	  398.63	  399.77	  399.24	  402.55	  399.34	  399.42	  399.23	  398.19	  397.88	  399.16	  397.48	  400.23	  398.68	  397.86	  397.90	  399.65	  399.02	  399.34	   17.43	   18.46	   19.74	   18.94	   18.77	   19.37	   17.40	   19.75	   19.38	   18.53	   18.63	   17.75	    0.65	   -0.01	   -0.07	   -0.11
       9	 13:00:05	   2.000	  187.76	  998.70	   22.82	 1049.85	   1.175	  380.73	   64.43	  -42.41	 -158.01	 -206.26	 -214.24	 -214.13	 -213.06	 -206.86	 -201.63	 -181.52	 -181.63	 -170.50	 -160.21	 -146.51	 -133.71	 -123.31	 -117.76	 -114.52	  -74.40	  -24.20	   -2.28	   13.46	   30.43	   46.04	  375.13	  306.19	  131.81	   49.74	   14.22	    1.43	   -3.68	   -6.95	   -9.21	  -10.17	  -10.55	  -10.59	  -10.62	   -9.40	   -7.47	   -5.21	   -1.82	    2.80	    8.77	   15.62	   22.69	   29.29	   34.73	   46.04	  397.98	  399.55	  398.61	  397.93	  398.20	  399.08	  398.63	  399.31	  399.18	  398.37	  398.69	  398.10	  399.58	  398.55	  398.28	  398.93	  397.94	  397.80	  399.14	  399.74	  399.28	  397.67	  388.03	  356.19	  337.05	  350.09	  373.82	  392.08	  398.31	  399.37	  397.47	  398.63	  399.04	  401.13	  399.87	  399.82	  399.43	  398.43	  398.39	  399.18	  397.98	  400.54	  399.12	  398.36	  398.45	  400.05	  399.50	  399.50	   15.75	   19.44	   20.63	   19.44	   18.79	   19.51	   20.29	   19.14	   18.32	   17.06	   17.19	   19.28	   -0.20	    0.00	   -0.04	   -0.05
      10	 13:00:36	   4.000	  185.42	  998.66	   22.90	 1050.09	   1.175	  150.21	 -161.40	 -247.15	 -306.90	 -316.12	 -300.43	 -283.06	 -271.41	 -255.20	 -243.90	 -218.33	 -215.77	 -201.10	 -187.85	 -172.92	 -164.32	 -160.30	 -136.38	  -73.93	  -48.98	  -33.87	  -13.20	    6.83	   27.39	   53.89	  144.92	  387.08	  259.63	  147.77	   89.26	   62.06	   46.78	   37.55	   30.38	   24.99	   20.94	   17.82	   15.20	   13.76	   13.02	   13.03	   13.97	   16.17	   19.92	   24.74	   30.39	   36.68	   42.96	   53.89	  394.28	  395.77	  394.89	  394.12	  394.53	  395.48	  394.98	  395.66	  395.43	  394.70	  395.20	  394.34	  395.85	  394.83	  394.72	  395.17	  394.56	  394.07	  395.39	  395.78	  395.56	  392.00	  372.17	  336.95	  330.70	  358.10	  382.47	  393.27	  395.22	  395.87	  394.08	  395.40	  395.82	  397.38	  396.82	  396.65	  396.44	  395.29	  395.25	  395.88	  394.76	  397.06	  395.87	  395.15	  395.37	  396.97	  396.36	  396.32	   14.77	   20.56	   21.66	   20.20	   19.28	   19.88	   20.84	   19.26	   17.80	   16.30	   16.48	   20.74	   -0.14	   -0.01	   -0.12	   -0.26
      11	 13:01:21	   6.000	  188.32	  998.74	   23.00	 1049.66	   1.175	 -352.31	 -453.01	 -499.58	 -483.50	 -441.33	 -397.62	 -361.07	 -339.23	 -315.07	 -293.80	 -266.59	 -260.99	 -244.23	 -230.12	 -205.50	 -161.53	 -130.80	 -110.82	  -89.24	  -68.98	  -47.81	  -23.15	    0.36	   22.53	   51.17	 -355.10	  374.28	  348.25	  231.77	  156.72	  119.03	   95.31	   80.66	   68.89	   59.64	   52.25	   46.20	   40.80	   36.97	   34.16	   31.88	   30.78	   31.05	   32.82	   35.72	   39.63	   44.55	   50.02	   51.17	  397.06	  398.63	  397.57	  396.94	  397.35	  398.29	  397.78	  398.45	  398.21	  397.55	  397.87	  397.17	  398.74	  397.62	  397.46	  398.01	  397.29	  397.08	  398.41	  398.97	  398.48	  397.11	  387.48	  348.85	  322.01	  340.93	  375.71	  395.18	  398.10	  398.73	  396.87	  398.58	  394.90	  399.50	  395.63	  395.50	  395.02	  394.30	  394.02	  394.80	  393.68	  395.86	  394.68	  394.05	  394.10	  395.79	  395.21	  394.93	   14.57	   22.23	   23.26	   21.51	   20.24	   20.51	   21.87	   19.68	   18.01	   16.23	   16.42	   22.67	    0.30	    0.01	   -0.05	   -0.09
      12	 13:01:51	   8.000	  188.16	  998.65	   23.04	 1049.93	   1.175	-1067.08	 -779.90	 -776.69	 -661.47	 -565.03	 -495.03	 -442.10	 -410.88	 -364.35	 -327.74	 -290.18	 -276.51	 -253.37	 -232.62	 -207.04	 -179.94	 -153.76	 -126.49	 -100.98	  -78.22	  -53.64	  -28.81	   -3.72	   17.26	   43.66	-1071.97	  264.73	  386.42	  295.19	  214.34	  167.10	  137.59	  119.08	  103.59	   90.96	   80.75	   72.15	   64.40	   58.37	   53.46	   49.21	   46.19	   44.48	   44.22	   45.25	   47.42	   50.26	   54.01	   43.66	  396.04	  397.72	  396.84	  396.22	  396.54	  397.49	  396.89	  397.58	  397.27	  396.66	  396.97	  396.06	  397.84	  396.79	  396.60	  397.24	  396.47	  396.15	  397.41	  397.82	  397.65	  394.48	  378.99	  338.60	  309.42	  323.36	  361.69	  389.37	  396.64	  397.85	  395.83	  397.75	  398.94	  399.40	  399.09	  399.07	  398.29	  397.79	  397.57	  398.38	  397.01	  399.39	  398.23	  397.40	  397.63	  399.33	  398.63	  398.81	   13.56	   23.06	   24.02	   22.02	   20.48	   19.86	   21.61	   19.41	   17.56	   15.36	   15.54	   23.85	   -0.65	    0.02	   -0.09	   -0.05
